Date         files          blank        comment           code     total
2019//03/10     57           2037            729           6863     9629
2019//03/23     62           2251            922           7718     10891
2019//03/24     62           2290            938           7814     11209
2019//03/25     62           2368            957           7991     11316
2019//03/26     86           2957            953           9541     13451
2019//04/04     87           2975            954           9843     13772
2019//04/06     87           2987            978           9876     13841
2019//04/08     89           2996            982           9895     13873
2019//04/12     91           3036           1007          10069     14112
2019//04/13     92           3198           1065          10635     14898            
2019//04/16     93           3237           1081          10711     15029
2019//04/21     93           3453           1176          11546     16175
2019//04/29     95           3605           1223          11982     16810
2019//05/05     98           3632           1227          12024     16883     
2019//05/10     98           3722           1611          12188     17521
2019//05/11     98           3739           1879          12264     17882
2019//05/12     98           3770           1897          12339     18006
2019//05/13     99           4575           2206          15031     21812
2019//05/16     101          4818           2229          15705     22752
2019//05/17     102          5039           2283          16417     23739
2019//05/18     107          5126           2325          16761     24212
2019//05/21     107          5184           2334          16941     24459
2019//05/23     107          5216           2343          17035     24594
2019//05/26     110          5357           2395          17328     25080
2019//05/27     110          5349           2395          17328     25072
2019//06/07     110          5424           2435          17590     25449
2019//06/12     110          5434           2439          17616     25489    
2019//06/16     86           4926           2458          16275     23659
